term,topic_id,enrichment_data
energy absorption,1.1,"{""explanation"": ""Energy absorption is the process where matter takes in energy from its surroundings, converting it into other forms like heat or chemical potential energy without re-emitting it."", ""urdu_meaning"": ""توانائی جذب - مادّے کے ذریعہ ارد گرد سے توانائی لینے اور اسے حرارت یا کیمیائی توانائی جیسی دوسری شکلوں میں تبدیل کرنے کا عمل۔"", ""term_type"": ""process"", ""example_sentence"": ""Chlorophyll in plants facilitates energy absorption during photosynthesis, converting sunlight into chemical energy stored in glucose."", ""properties"": {""key_principle"": ""Conversion of external energy into internal energy (e.g., kinetic, thermal, or electronic excitation)"", ""related_concepts"": [""photochemistry"", ""spectroscopy"", ""endothermic reaction"", ""quantum yield"", ""thermodynamics""], ""real_world_example"": ""Solar panels absorbing photons to generate electricity via the photovoltaic effect""}}"
energy release,1.1,"{""explanation"": ""Energy release refers to the emission of energy during chemical reactions or physical changes, often observed as heat, light, or sound."", ""urdu_meaning"": ""توانائی کا اخراج"", ""term_type"": ""process"", ""example_sentence"": ""The combustion of propane in a grill involves significant energy release in the form of heat and light."", ""properties"": {""key_principle"": ""Transformation of potential energy (e.g., chemical bonds) into kinetic energy (e.g., heat/motion)"", ""related_concepts"": [""exothermic reaction"", ""enthalpy change (ΔH)"", ""activation energy"", ""conservation of energy"", ""bond energy""], ""real_world_example"": ""Energy release during cellular respiration powers biological processes in living organisms.""}}"
energy transformations,1.1,"{""explanation"": ""Energy transformations refer to the process where energy changes from one form to another, governed by the law of conservation of energy. In chemistry, this often involves conversions between chemical, thermal, electrical, or radiant energy."", ""urdu_meaning"": ""توانائی کی تبدیلیاں"", ""term_type"": ""process"", ""example_sentence"": ""During photosynthesis, plants perform energy transformations by converting solar energy into chemical energy stored in glucose molecules."", ""properties"": {""key_principle"": ""Conservation of energy (energy cannot be created or destroyed, only transformed)"", ""related_concepts"": [""thermodynamics"", ""entropy"", ""exothermic reaction"", ""endothermic reaction"", ""activation energy""], ""real_world_example"": ""Battery operation: Chemical energy → Electrical energy → Light/Heat in a device""}}"
environmental chemistry,1.1,"{""explanation"": ""The study of chemical processes occurring in natural environments, including the origins, reactions, effects, and fates of chemical species in air, water, soil, and living systems."", ""urdu_meaning"": ""ماحولیاتی کیمیا - قدرتی ماحول میں ہونے والے کیمیائی عمل کا مطالعہ، بشمول کیمیائی انواع کے ماخذ، تعاملات، اثرات اور انجام۔"", ""term_type"": ""concept"", ""example_sentence"": ""Environmental chemistry investigates how industrial pollutants like heavy metals accumulate in river sediments and affect aquatic ecosystems."", ""properties"": {""key_principle"": ""Analyzes chemical interactions within ecosystems and human impacts on natural cycles"", ""related_concepts"": [""pollution"", ""green chemistry"", ""toxicology"", ""biogeochemical cycles"", ""atmospheric chemistry""], ""real_world_example"": ""Assessing the breakdown pathways of pesticides in agricultural soil to prevent groundwater contamination""}}"
environmental science,1.1,"{""explanation"": ""Environmental science is an interdisciplinary field that studies the interactions between physical, chemical, and biological components of the environment, including solutions to pollution, climate change, and resource management."", ""urdu_meaning"": ""ماحولیاتی سائنس - وہ بین الاختصاصی شعبہ جو ماحول کے طبیعی، کیمیائی اور حیاتیاتی اجزاء کے باہمی تعلقات کا مطالعہ کرتا ہے"", ""term_type"": ""concept"", ""example_sentence"": ""Environmental science uses chemical analysis to monitor heavy metal contamination in soil near industrial zones."", ""properties"": {""key_principle"": ""Understanding human impact on natural systems through interdisciplinary approaches"", ""related_concepts"": [""biogeochemical cycles"", ""pollution"", ""sustainability"", ""ecotoxicology"", ""climate change""], ""real_world_example"": ""Chemical remediation of oil spills using surfactants and biodegradation techniques""}}"
exothermic,1.1,"{""explanation"": ""An exothermic process is a chemical reaction or physical change that releases energy, typically as heat or light, into its surroundings."", ""urdu_meaning"": ""حرارت زا - ایسا عمل جو توانائی خارج کرے (عام طور پر حرارت یا روشنی کی صورت میں)"", ""term_type"": ""concept"", ""example_sentence"": ""The combustion of methane is highly exothermic, releasing large amounts of heat used for cooking and heating."", ""properties"": {""key_principle"": ""Net release of energy due to stronger bond formation in products than breaking bonds in reactants"", ""related_concepts"": [""endothermic"", ""enthalpy"", ""activation energy"", ""thermochemistry"", ""combustion""], ""real_world_example"": ""Self-heating hand warmers using iron oxidation (rusting) reaction""}}"
food,1.1,"{""explanation"": ""Food refers to substances consumed by living organisms to provide nutritional support, primarily composed of chemical compounds like carbohydrates, proteins, lipids, vitamins, and minerals that undergo biochemical reactions during digestion and metabolism."", ""urdu_meaning"": ""کھانا - غذائی اجزاء پر مشتمل مادہ جو حیاتیات کے لیے توانائی اور تغذیہ فراہم کرتا ہے"", ""term_type"": ""concept"", ""example_sentence"": ""Chemists analyze the protein content in food using the Kjeldahl method to determine its nutritional value."", ""properties"": {""key_principle"": ""Biochemical energy conversion through metabolic processes"", ""related_concepts"": [""macromolecules"", ""enzymes"", ""calorimetry"", ""digestion"", ""food preservation""], ""real_world_example"": ""Maillard reaction (browning of bread during baking)""}}"
freezing point,1.1,"{""explanation"": ""The freezing point is the specific temperature at which a liquid substance transitions into a solid state at standard atmospheric pressure."", ""urdu_meaning"": ""نقطہ انجماد - وہ درجہ حرارت جس پر مائع، معیاری فضائی دباو پر ٹھوس میں تبدیل ہوتا ہے۔"", ""term_type"": ""property"", ""example_sentence"": ""Adding salt to water depresses its freezing point, preventing ice formation on roads at temperatures slightly below 0°C."", ""properties"": {""key_principle"": ""Phase transition equilibrium where liquid and solid phases coexist"", ""related_concepts"": [""melting point"", ""colligative properties"", ""phase diagram"", ""supercooling""], ""real_world_example"": ""Antifreeze in car radiators lowers water's freezing point to protect engines in winter.""}}"
hydrogen,1.1,"{""explanation"": ""Hydrogen is the lightest and most abundant chemical element in the universe, typically existing as a diatomic gas (H₂). It forms water when combined with oxygen and serves as a key component in organic compounds."", ""urdu_meaning"": ""ہائیڈروجن"", ""term_type"": ""element"", ""example_sentence"": ""In fuel cells, hydrogen gas reacts with oxygen to generate electricity and produce water as a byproduct."", ""properties"": {""symbol"": ""H"", ""atomic_number"": 1, ""category"": ""nonmetal"", ""state_room_temp"": ""gas"", ""common_uses"": [""Rocket propulsion fuel"", ""Ammonia production (Haber process)"", ""Hydrogenation of vegetable oils"", ""Coolant in power generators"", ""Fuel for hydrogen fuel cells""]}}"
inorganic chemistry,1.1,"{""explanation"": ""Inorganic chemistry is the branch of chemistry focused on the properties and behaviors of inorganic compounds, which include minerals, metals, nonmetals, and organometallic substances, excluding most carbon-based molecules."", ""urdu_meaning"": ""غیر نامیاتی کیمیا - کیمیا کی وہ شاخ جو معدنیات، دھاتوں، غیر دھاتوں اور نامیاتی دھاتی مرکبات کے خواص اور رد عمل کا مطالعہ کرتی ہے۔"", ""term_type"": ""concept"", ""example_sentence"": ""Understanding the catalytic properties of transition metals in industrial ammonia synthesis is a key topic in inorganic chemistry."", ""properties"": {""key_principle"": ""Study of non-carbon-based compounds (excluding oxides, carbonates, cyanides) and their reactions, structures, and applications"", ""related_concepts"": [""coordination chemistry"", ""acid-base chemistry"", ""solid-state chemistry"", ""crystal field theory"", ""oxidation-reduction reactions"", ""mineralogy""], ""real_world_example"": ""Development of platinum-based catalysts for catalytic converters in automobiles""}}"
laws,1.1,"{""explanation"": ""Fundamental principles in chemistry that describe consistent patterns of behavior observed in chemical systems, derived from repeated experimental evidence."", ""urdu_meaning"": ""قوانین - کیمیائی نظاموں میں مشاہدہ کیے گئے مستقل رویوں کو بیان کرنے والے بنیادی اصول"", ""term_type"": ""concept"", ""example_sentence"": ""The ideal gas law (PV = nRT) mathematically relates pressure, volume, temperature, and moles for a hypothetical gas."", ""properties"": {""key_principle"": ""Describe invariant relationships in chemical/physical behavior"", ""related_concepts"": [""Boyle's Law"", ""Charles's Law"", ""Law of Conservation of Mass"", ""Avogadro's Law"", ""scientific theory""], ""real_world_example"": ""Using gas laws to calculate airbag inflation parameters in vehicles during collisions""}}"
living organisms,1.1,"{""explanation"": ""Living organisms are complex chemical systems that maintain homeostasis, undergo metabolism, and reproduce, relying on intricate biochemical reactions involving organic compounds like proteins, nucleic acids, carbohydrates, and lipids."", ""urdu_meaning"": ""زندہ جاندار"", ""term_type"": ""concept"", ""example_sentence"": ""The study of enzymes in living organisms reveals how catalysts accelerate biochemical reactions essential for cellular functions like energy production."", ""properties"": {""key_principle"": ""Biochemical organization sustaining life processes"", ""related_concepts"": [""metabolism"", ""DNA"", ""cellular respiration"", ""photosynthesis"", ""homeostasis"", ""organic chemistry""], ""real_world_example"": ""Enzymatic breakdown of glucose during cellular respiration to produce ATP energy in human cells""}}"
magnesium,1.1,"{""explanation"": ""Magnesium is a lightweight, silvery-white alkaline earth metal essential for biological processes and commonly used in alloys due to its high strength-to-weight ratio."", ""urdu_meaning"": ""میگنیشیم"", ""term_type"": ""element"", ""example_sentence"": ""When magnesium ribbon burns in air, it produces a bright white flame and forms magnesium oxide."", ""properties"": {""symbol"": ""Mg"", ""atomic_number"": 12, ""category"": ""metal"", ""state_room_temp"": ""solid"", ""common_uses"": [""Aircraft and automotive alloys"", ""Pyrotechnics (flares/fireworks)"", ""Dietary supplements"", ""Laptop/phone casings"", ""Desulfurization of iron""]}}"
matter,1.1,"{""explanation"": ""Matter is anything that has mass and occupies space, comprising all physical substances in the universe."", ""urdu_meaning"": ""مادّہ - وہ چیز جو جگہ گھیرتی ہے اور جس کا ماس ہوتا ہے۔"", ""term_type"": ""concept"", ""example_sentence"": ""Chemists study how matter transforms during chemical reactions, such as when hydrogen and oxygen combine to form water."", ""properties"": {""key_principle"": ""Composed of atoms and has measurable mass/volume"", ""related_concepts"": [""atom"", ""element"", ""compound"", ""mass"", ""volume"", ""phase"", ""energy""], ""real_world_example"": ""Water changing from solid (ice) to liquid to gas (steam) demonstrates states of matter.""}}"
medicinal chemistry,1.1,"{""explanation"": ""Medicinal chemistry is the interdisciplinary science focusing on the design, synthesis, and development of pharmaceutical drugs by studying the interactions of chemical compounds with biological systems."", ""urdu_meaning"": ""طِبّی کیمیا - ادویات کی تیاری، ترکیب اور نشوونما سے متعلق علم جو حیاتیاتی نظاموں کے ساتھ کیمیائی مرکبات کے تعامل کا مطالعہ کرتا ہے۔"", ""term_type"": ""concept"", ""example_sentence"": ""In medicinal chemistry, researchers optimized the lead compound's structure to enhance its binding affinity to the cancer target protein while reducing off-site toxicity."", ""properties"": {""key_principle"": ""Design and modification of chemical structures to improve drug efficacy, safety, and pharmacokinetics"", ""related_concepts"": [""pharmacology"", ""biochemistry"", ""drug design"", ""ADMET"", ""structure-activity relationship (SAR)""], ""real_world_example"": ""Development of protease inhibitors for HIV treatment through targeted molecular synthesis""}}"
molecules,1.1,"{""explanation"": ""Molecules are groups of two or more atoms held together by chemical bonds, representing the smallest fundamental unit of a compound that retains its chemical properties."", ""urdu_meaning"": ""سالمہ - دو یا زیادہ ایٹموں کا کیمیائی بندھن سے بنا ہوا گروپ جو مرکب کی خصوصیات رکھتا ہے"", ""term_type"": ""concept"", ""example_sentence"": ""Water molecules (H₂O) consist of two hydrogen atoms covalently bonded to one oxygen atom."", ""properties"": {""key_principle"": ""Atoms combine via covalent, ionic, or metallic bonds to form stable units"", ""related_concepts"": [""atoms"", ""chemical bonds"", ""compounds"", ""molecular geometry"", ""intermolecular forces""], ""real_world_example"": ""Oxygen gas (O₂) exists as diatomic molecules essential for respiration""}}"
nerve signals,1.1,"{""explanation"": ""Nerve signals are electrochemical impulses transmitted along neurons, driven by ion movements (e.g., Na⁺ and K⁺) across cell membranes to relay information."", ""urdu_meaning"": ""عصبی اشارے - عصبی خلیات کے درمیان برقی کیمیائی تحریکوں کے ذریعے معلومات کی ترسیل"", ""term_type"": ""process"", ""example_sentence"": ""The propagation of nerve signals relies on voltage-gated sodium channels that allow rapid influx of Na⁺ ions to depolarize the neuron membrane."", ""properties"": {""key_principle"": ""Electrochemical gradients and ion channel dynamics"", ""related_concepts"": [""action potential"", ""neurotransmitters"", ""sodium-potassium pump"", ""membrane potential""], ""real_world_example"": ""Acetylcholine release at neuromuscular junctions triggers muscle contraction by transmitting nerve signals.""}}"
nuclear chemistry,1.1,"{""explanation"": ""Nuclear chemistry is the branch of chemistry dealing with nuclear reactions, radioactive elements, and atomic nuclei changes, including radioactive decay, fission, and fusion."", ""urdu_meaning"": ""نیوکلیائی کیمیا - جوہری مرکزوں، تابکار عناصر اور جوہری تعاملات سے متعلق کیمیا کی شاخ"", ""term_type"": ""concept"", ""example_sentence"": ""In nuclear chemistry, scientists study the half-life of iodine-131 to optimize its use in medical radiotherapy."", ""properties"": {""key_principle"": ""Transformation of atomic nuclei through radioactive decay or artificial reactions"", ""related_concepts"": [""radioactive decay"", ""nuclear fission"", ""nuclear fusion"", ""half-life"", ""isotopes"", ""radiation""], ""real_world_example"": ""Production of technetium-99m for medical diagnostic imaging""}}"
organic chemistry,1.1,"{""explanation"": ""Organic chemistry is the branch of chemistry that studies the structure, properties, reactions, and synthesis of carbon-containing compounds, typically involving hydrocarbons and their derivatives."", ""urdu_meaning"": ""نامیاتی کیمیا - کاربن پر مشتمل مرکبات کی ساخت، خواص، تعاملات اور ترکیب کا مطالعہ کرنے والی کیمیا کی شاخ"", ""term_type"": ""concept"", ""example_sentence"": ""Understanding the reactivity of alkenes is a fundamental topic in organic chemistry for designing polymer synthesis."", ""properties"": {""key_principle"": ""Study of carbon-based molecular structures and their transformations"", ""related_concepts"": [""hydrocarbons"", ""functional groups"", ""stereochemistry"", ""polymerization"", ""biochemistry""], ""real_world_example"": ""Development of pharmaceutical drugs like aspirin (acetylsalicylic acid)""}}"
organic compounds,1.1,"{""explanation"": ""Organic compounds are chemical substances primarily composed of carbon atoms bonded to hydrogen, oxygen, nitrogen, or other elements, forming the basis of life and many synthetic materials."", ""urdu_meaning"": ""نامیاتی مرکبات - کاربن پر مبنی کیمیائی مرکبات جو عموماً ہائیڈروجن، آکسیجن، نائٹروجن وغیرہ کے ساتھ مل کر حیاتیاتی اور مصنوعی مادوں کی بنیاد بناتے ہیں۔"", ""term_type"": ""concept"", ""example_sentence"": ""Biochemists study complex organic compounds like proteins and DNA to understand cellular processes."", ""properties"": {""key_principle"": ""Carbon-based molecular structure, often with covalent bonds and functional groups"", ""related_concepts"": [""hydrocarbons"", ""functional groups"", ""isomerism"", ""polymerization"", ""biochemistry""], ""real_world_example"": ""Methane (CH₄) in natural gas used for heating and cooking""}}"
oxygen,1.1,"{""explanation"": ""Oxygen is a highly reactive nonmetallic element essential for respiration and combustion, existing as a diatomic gas (O₂) at room temperature."", ""urdu_meaning"": ""آکسیجن"", ""term_type"": ""element"", ""example_sentence"": ""During aerobic cellular respiration, glucose reacts with oxygen to produce carbon dioxide, water, and ATP energy."", ""properties"": {""symbol"": ""O"", ""atomic_number"": 8, ""category"": ""nonmetal"", ""state_room_temp"": ""gas"", ""common_uses"": [""Medical respiratory support"", ""Steel production (basic oxygen process)"", ""Water treatment"", ""Rocket propellant oxidizer"", ""Welding and metal cutting""]}}"
physical changes,1.1,"{""explanation"": ""Physical changes involve alterations in a substance's state or form without changing its chemical identity. These changes are typically reversible and do not create new substances."", ""urdu_meaning"": ""طبعی تبدیلی - مادے کی حالت یا شکل میں تبدیلی جس میں اس کا کیمیائی ساخت تبدیل نہیں ہوتی"", ""term_type"": ""concept"", ""example_sentence"": ""The melting of ice into liquid water is a physical change because H₂O molecules remain unchanged despite the phase transition."", ""properties"": {""key_principle"": ""Reversible alterations without molecular rearrangement"", ""related_concepts"": [""phase transition"", ""melting point"", ""boiling point"", ""sublimation"", ""chemical change""], ""real_world_example"": ""Boiling water to produce steam for sterilization in laboratories""}}"
physical chemistry,1.1,"{""explanation"": ""Physical chemistry applies physics principles to understand chemical systems, focusing on how matter behaves at atomic and molecular levels and how chemical reactions occur."", ""urdu_meaning"": ""طبعی کیمیا - طبیعیات کے اصولوں کو کیمیائی نظاموں پر لاگو کرنے والی شاخ"", ""term_type"": ""concept"", ""example_sentence"": ""Physical chemistry explains why increasing temperature accelerates the decomposition rate of hydrogen peroxide."", ""properties"": {""key_principle"": ""Quantitative study of energy transfer, molecular structure, and reaction dynamics in chemical systems"", ""related_concepts"": [""thermodynamics"", ""quantum chemistry"", ""kinetics"", ""statistical mechanics"", ""spectroscopy""], ""real_world_example"": ""Designing lithium-ion batteries by optimizing electrochemical reactions and energy efficiency""}}"
physics,1.1,"{""explanation"": ""Physics is the fundamental science studying matter, energy, space, time, and their interactions, providing foundational principles for understanding chemical phenomena."", ""urdu_meaning"": ""طبیعیات - مادّہ، توانائی، وقت اور خلا کے باہمی تعلقات کا مطالعہ کرنے والی بنیادی سائنس"", ""term_type"": ""concept"", ""example_sentence"": ""Quantum physics explains electron behavior in atomic orbitals, directly influencing chemical bonding and reactivity."", ""properties"": {""key_principle"": ""Governs universal laws of motion, energy conservation, and forces"", ""related_concepts"": [""thermodynamics"", ""quantum mechanics"", ""electromagnetism"", ""kinetics""], ""real_world_example"": ""X-ray crystallography (physics technique) determining molecular structures in chemistry""}}"
pollution,1.1,"{""explanation"": ""The introduction of harmful substances or contaminants into the natural environment, disrupting chemical balances and causing adverse effects. These pollutants can be chemicals, particles, or biological materials."", ""urdu_meaning"": ""آلودگی - ماحول میں نقصان دہ مادوں کا شامل ہونا جو کیمیائی توازن کو خراب کرتا ہے۔"", ""term_type"": ""concept"", ""example_sentence"": ""Industrial waste discharged into rivers causes chemical pollution, increasing heavy metal concentrations that poison aquatic ecosystems."", ""properties"": {""key_principle"": ""Contamination exceeding natural assimilation capacity"", ""related_concepts"": [""pollutant"", ""biodegradation"", ""toxicity"", ""environmental chemistry"", ""waste management""], ""real_world_example"": ""Atmospheric pollution from sulfur dioxide (SO₂) leading to acid rain formation""}}"
polymer chemistry,1.1,"{""explanation"": ""Polymer chemistry is the scientific field dedicated to studying the synthesis, structure, properties, and applications of macromolecules called polymers, which consist of repeating structural units (monomers) connected by covalent bonds."", ""urdu_meaning"": ""پولیمر کیمسٹری - سالمات کی ترکیب، ساخت، خصوصیات اور استعمالات کا مطالعہ جن میں بار بار دہرائی جانے والی ساختی اکائیاں شامل ہوتی ہیں۔"", ""term_type"": ""concept"", ""example_sentence"": ""Polymer chemistry principles were applied to synthesize a new biodegradable plastic for packaging applications."", ""properties"": {""key_principle"": ""Polymerization reactions that link monomers into long chains or networks"", ""related_concepts"": [""monomer"", ""macromolecule"", ""polymerization"", ""copolymer"", ""thermoplastic"", ""elastomer""], ""real_world_example"": ""Development of medical sutures that dissolve harmlessly in the body after wound healing""}}"
principles,1.1,"{""explanation"": ""Fundamental concepts or laws that form the foundational basis of chemical theories and explain the behavior of matter and energy."", ""urdu_meaning"": ""اصول - بنیادی تصورات یا قوانین جو کیمیائی نظریات کی بنیاد بنتے ہیں اور مادّے اور توانائی کے رویے کی وضاحت کرتے ہیں۔"", ""term_type"": ""concept"", ""example_sentence"": ""Le Chatelier's Principle predicts how a chemical system at equilibrium responds to changes in concentration, temperature, or pressure."", ""properties"": {""key_principle"": ""Guiding rules derived from observations and experiments that govern chemical phenomena."", ""related_concepts"": [""scientific law"", ""theory"", ""hypothesis"", ""equilibrium"", ""stoichiometry"", ""thermodynamics""], ""real_world_example"": ""Applying the Principle of Conservation of Mass to balance chemical equations in industrial reactions.""}}"
properties,1.1,"{""explanation"": ""Properties are measurable characteristics of matter that describe its physical state or chemical behavior, including attributes like density, melting point, and reactivity."", ""urdu_meaning"": ""خصوصیات - مادے کی وہ پیمائشی خصوصیات جو اس کی جسمانی حالت یا کیمیائی رویے کو بیان کرتی ہیں۔"", ""term_type"": ""concept"", ""example_sentence"": ""The **properties** of sodium chloride include a high melting point of 801°C and solubility in water."", ""properties"": {""key_principle"": ""Attributes that define a substance's identity and behavior under specific conditions"", ""related_concepts"": [""physical properties"", ""chemical properties"", ""intensive properties"", ""extensive properties"", ""states of matter""], ""real_world_example"": ""Using the magnetic properties of iron to separate it from non-magnetic waste in recycling plants""}}"
