term,topic_id,enrichment_data
electrically neutral,2.1,"{""explanation"":""Atom condition where proton count equals electron count, resulting in net zero charge."",""urdu_meaning"":""برقی غیر جانبدار - پروٹان اور الیکٹران کی تعداد برابر"",""term_type"":""property"",""example_sentence"":""Electrically neutral atoms become ions by gaining/losing electrons."",""properties"":{""key_principle"":""Charge balance"",""related_concepts"":[""ionization"",""electron transfer"",""plasma"",""neutral particles""],""real_world_example"":""Stable atomic matter""}}"
electromagnetic forces,2.1,"{""explanation"":""Fundamental force binding electrons to nucleus through photon exchange."",""urdu_meaning"":""برقی مقناطیسی قوّتیں - الیکٹران کو مرکزے سے جوڑنے والی قوّت"",""term_type"":""concept"",""example_sentence"":""Electromagnetic forces determine atomic sizes and chemical bonds."",""properties"":{""key_principle"":""Inverse-square law"",""related_concepts"":[""Coulomb's law"",""quantum electrodynamics"",""photon emission"",""spectral lines""],""real_world_example"":""Laser technology""}}"
electron cloud,2.1,"{""explanation"":""Quantum mechanical probability distribution where electrons likely exist around nucleus."",""urdu_meaning"":""الیکٹرانی بادل - الیکٹران کی موجودگی کا امکان والا خطّہ"",""term_type"":""concept"",""example_sentence"":""Electron cloud density maps predict chemical reactivity sites."",""properties"":{""key_principle"":""Probability orbitals"",""related_concepts"":[""Schrödinger equation"",""electron density"",""molecular orbitals"",""quantum tunneling""],""real_world_example"":""Predicting reaction mechanisms""}}"
electron configuration,2.1,"{""explanation"":""Distribution of electrons in atomic orbitals following Aufbau principle."",""urdu_meaning"":""الیکٹران ترتیب - مداروں میں الیکٹران کی تقسیم"",""term_type"":""property"",""example_sentence"":""Chromium's electron configuration [Ar] 4s¹ 3d⁵ demonstrates Hund's rule exception."",""properties"":{""key_principle"":""Pauli exclusion and Hund's rule"",""related_concepts"":[""orbital notation"",""valence electrons"",""periodic trends"",""quantum numbers""],""real_world_example"":""Predicting magnetic properties""}}"
electrons,2.1,"{""explanation"":""Subatomic particles (mass 9.1×10⁻³¹kg, charge -1e) orbiting nucleus in quantum orbitals."",""urdu_meaning"":""الیکٹران - زیرجوہری ذرّات جو منفی بار رکھتے ہیں"",""term_type"":""concept"",""example_sentence"":""Electrons mediate chemical bonding through sharing/transfer."",""properties"":{""key_principle"":""Wave-particle duality"",""related_concepts"":[""quantum spin"",""lepton"",""photoelectric effect"",""electron microscopy""],""real_world_example"":""Electric current flow""}}"
energy level,2.1,"{""explanation"":""Quantized electron state with specific energy, denoted by quantum number n."",""urdu_meaning"":""توانائی کی سطح - الیکٹران کی مخصوص توانائی والی حالت"",""term_type"":""concept"",""example_sentence"":""Ground state electrons occupy lowest energy level possible."",""properties"":{""key_principle"":""Eₙ = -13.6/n² eV for hydrogen"",""related_concepts"":[""quantum leap"",""Bohr model"",""excited states"",""spectroscopy""],""real_world_example"":""Atomic absorption spectroscopy""}}"
energy levels,2.1,"{""explanation"":""Discrete electron states with energies proportional to 1/n² in hydrogen atom."",""urdu_meaning"":""توانائی کی سطحیں - الیکٹران کی منفرد توانائی والی حالتیں"",""term_type"":""concept"",""example_sentence"":""Energy levels converge at ionization limit n=∞."",""properties"":{""key_principle"":""Quantum number n"",""related_concepts"":[""Rydberg formula"",""Lyman series"",""Balmer series"",""atomic spectra""],""real_world_example"":""Neon sign color emission""}}"
f subshell,2.1,"{""explanation"":""Orbital subset holding max 14 electrons across 7 orbitals in lanthanides/actinides."",""urdu_meaning"":""ایف ذیلی شیل - سات مداروں پر مشتمل"",""term_type"":""concept"",""example_sentence"":""f subshell electrons cause lanthanide contraction in periodic table."",""properties"":{""key_principle"":""Angular momentum quantum number l=3"",""related_concepts"":[""lanthanides"",""actinides"",""magnetic properties"",""coordination chemistry""],""real_world_example"":""MRI contrast agents (gadolinium)""}}"
helium,2.1,"{""explanation"":""Noble gas (atomic number 2) with stable 1s² configuration and minimal reactivity."",""urdu_meaning"":""ہیلیم - عالی زریں گیس"",""term_type"":""element"",""example_sentence"":""Helium atoms have full K-shell making them chemically inert."",""properties"":{""symbol"":""He"",""atomic_number"":2,""category"":""noble gas"",""state_room_temp"":""gas"",""common_uses"":[""cryogenics"",""airbags"",""welding shield gas""]}}"
hydrogen atom,2.1,"{""explanation"":""Simplest atom with one proton and one electron, model for quantum mechanics."",""urdu_meaning"":""ہائیڈروجن ایٹم - ایک پروٹان اور ایک الیکٹران پر مشتمل"",""term_type"":""concept"",""example_sentence"":""Hydrogen atom spectra validated quantum mechanical predictions."",""properties"":{""key_principle"":""Analytical Schrödinger solution"",""related_concepts"":[""Rydberg constant"",""atomic orbitals"",""ionization energy"",""quantum numbers""],""real_world_example"":""Hydrogen fuel technology""}}"
individual atoms,2.1,"{""explanation"":""Isolated elemental particles exhibiting quantum properties without bonding."",""urdu_meaning"":""انفرادی ایٹم - الگ تھلگ عنصری ذرّات"",""term_type"":""concept"",""example_sentence"":""Individual atoms emit unique spectral lines when excited."",""properties"":{""key_principle"":""Gas phase behavior"",""related_concepts"":[""atomic spectroscopy"",""monatomic gases"",""laser cooling"",""Bose-Einstein condensates""],""real_world_example"":""Atomic clocks""}}"
ion,2.1,"{""explanation"":""Charged atom formed by electron loss/gain to achieve stable configuration."",""urdu_meaning"":""آئن - باردار ایٹم"",""term_type"":""concept"",""example_sentence"":""Sodium ions (Na⁺) form when atoms lose valence electrons."",""properties"":{""key_principle"":""Electron count imbalance"",""related_concepts"":[""cation"",""anion"",""ionic bonding"",""electrolytes""],""real_world_example"":""Nerve signal transmission""}}"
k shell,2.1,"{""explanation"":""Innermost electron shell (n=1) holding max 2 electrons in spherical 1s orbital."",""urdu_meaning"":""کے شیل - اندرونی ترین الیکٹران شیل"",""term_type"":""concept"",""example_sentence"":""K-shell electrons experience strongest nuclear attraction."",""properties"":{""key_principle"":""Closest to nucleus"",""related_concepts"":[""binding energy"",""X-ray emission"",""auger effect"",""electron capture""],""real_world_example"":""X-ray spectroscopy""}}"
l shell,2.1,"{""explanation"":""Second electron shell (n=2) with max 8 electrons in 2s and 2p orbitals."",""urdu_meaning"":""ایل شیل - دوسرا الیکٹران شیل"",""term_type"":""concept"",""example_sentence"":""L-shell electrons participate in covalent bonding for period 2 elements."",""properties"":{""key_principle"":""Contains s and p subshells"",""related_concepts"":[""valence shell"",""hybridization"",""chemical bonding"",""periodic table groups""],""real_world_example"":""Organic chemistry reactions""}}"
m shell,2.1,"{""explanation"":""Third electron shell (n=3) holding max 18 electrons in 3s, 3p, 3d orbitals."",""urdu_meaning"":""ایم شیل - تیسرا الیکٹران شیل"",""term_type"":""concept"",""example_sentence"":""M-shell d orbitals fill in transition metals starting period 4."",""properties"":{""key_principle"":""First shell with d subshell"",""related_concepts"":[""transition metals"",""coordination compounds"",""crystal field theory"",""magnetic materials""],""real_world_example"":""Catalyst design""}}"
mass number,2.1,"{""explanation"":""Sum of protons and neutrons in nucleus, approximately equal to atomic mass."",""urdu_meaning"":""کمیتی نمبر - پروٹان اور نیوٹران کی مجموعی تعداد"",""term_type"":""property"",""example_sentence"":""Carbon-12 has mass number 12 with 6 protons and 6 neutrons."",""properties"":{""key_principle"":""Nucleon count"",""related_concepts"":[""atomic mass"",""isotopes"",""nuclides"",""nuclear binding energy""],""real_world_example"":""Radioisotope labeling""}}"
maximum electron capacity,2.1,"{""explanation"":""Total electrons a shell can hold calculated by 2n² formula."",""urdu_meaning"":""زیادہ سے زیادہ الیکٹران گنجائش - 2n² فارمولا"",""term_type"":""property"",""example_sentence"":""M-shell maximum electron capacity is 18 electrons."",""properties"":{""key_principle"":""Quantum mechanical constraint"",""related_concepts"":[""Pauli exclusion"",""subshell capacities"",""orbital types"",""electron degeneracy""],""real_world_example"":""Periodic table period structure""}}"
n shell,2.1,"{""explanation"":""Fourth electron shell (n=4) with max 32 electrons containing s,p,d,f orbitals."",""urdu_meaning"":""این شیل - چوتھا الیکٹران شیل"",""term_type"":""concept"",""example_sentence"":""N-shell f orbitals fill in lanthanides/actinides."",""properties"":{""key_principle"":""First shell with f subshell"",""related_concepts"":[""lanthanides"",""actinides"",""f-block elements"",""rare earth metals""],""real_world_example"":""Nuclear fuel chemistry""}}"
negative charge,2.1,"{""explanation"":""Fundamental property of electrons (-1.6×10⁻¹⁹C) causing electrostatic attraction to protons."",""urdu_meaning"":""منفی بار - الیکٹران کی بنیادی خاصیت"",""term_type"":""property"",""example_sentence"":""Negative charge accumulation causes electrostatic discharge in storms."",""properties"":{""key_principle"":""Quantized elementary charge"",""related_concepts"":[""cathode rays"",""anions"",""electrostatic forces"",""triboelectric effect""],""real_world_example"":""Battery anode reactions""}}"
negatively charged particles,2.1,"{""explanation"":""Electrons and anions carrying negative electric charge."",""urdu_meaning"":""منفی باردار ذرّات - الیکٹران اور منفی آئن"",""term_type"":""concept"",""example_sentence"":""Negatively charged particles deflect toward positive electrodes."",""properties"":{""key_principle"":""Coulomb attraction"",""related_concepts"":[""electrophoresis"",""cathode"",""ionic mobility"",""electron beams""],""real_world_example"":""Electron microscopy""}}"
neutrons,2.1,"{""explanation"":""Neutral subatomic particles in nucleus stabilizing protons via nuclear forces."",""urdu_meaning"":""نیوٹران - غیر جانبدار زیرجوہری ذرّات"",""term_type"":""concept"",""example_sentence"":""Neutrons determine isotopes; carbon-12 has 6, carbon-14 has 8 neutrons."",""properties"":{""key_principle"":""Nuclear stability"",""related_concepts"":[""isotopes"",""nuclear fission"",""neutron capture"",""strong force""],""real_world_example"":""Nuclear reactors""}}"
nitrogen atom,2.1,"{""explanation"":""Element (atomic number 7) with electron configuration 1s²2s²2p³ needing three electrons."",""urdu_meaning"":""نائٹروجن ایٹم - ایٹمی نمبر 7 والا عنصر"",""term_type"":""element"",""example_sentence"":""Nitrogen atoms form triple bonds in N₂ molecules."",""properties"":{""symbol"":""N"",""atomic_number"":7,""category"":""nonmetal"",""state_room_temp"":""gas"",""common_uses"":[""fertilizers"",""ammonia production"",""cryogenic fluids""]}}"
no charge,2.1,"{""explanation"":""Neutral state where positive and negative charges balance, like in neutrons."",""urdu_meaning"":""غیر جانبدار - بار کی غیر موجودگی"",""term_type"":""property"",""example_sentence"":""Neutrons have no charge but contribute to atomic mass."",""properties"":{""key_principle"":""Charge neutrality"",""related_concepts"":[""neutrons"",""neutral atoms"",""photon interactions"",""dark matter""],""real_world_example"":""Neutron diffraction analysis""}}"
nuclear forces,2.1,"{""explanation"":""Strong interactions binding protons/neutrons in nucleus overcoming electrostatic repulsion."",""urdu_meaning"":""نیوکلیائی قوّتیں - پروٹان اور نیوٹران کو جوڑنے والی مضبوط قوّت"",""term_type"":""concept"",""example_sentence"":""Nuclear forces operate at femtometer scales with quark-gluon exchange."",""properties"":{""key_principle"":""Short-range attraction"",""related_concepts"":[""strong interaction"",""meson theory"",""nuclear binding energy"",""quark confinement""],""real_world_example"":""Nuclear fusion in stars""}}"
nucleus,2.1,"{""explanation"":""Central core containing protons/neutrons comprising 99.94% atomic mass."",""urdu_meaning"":""مرکزہ - پروٹان اور نیوٹران پر مشتمل مرکزی حصّہ"",""term_type"":""concept"",""example_sentence"":""Rutherford discovered nucleus through alpha particle scattering."",""properties"":{""key_principle"":""Dense positive core"",""related_concepts"":[""nuclear model"",""atomic radius"",""nuclear reactions"",""radioactivity""],""real_world_example"":""Nuclear medicine imaging""}}"
orbits,2.1,"{""explanation"":""Bohr model concept of circular electron paths replaced by quantum orbitals."",""urdu_meaning"":""مدار - بوہر نمونے میں الیکٹران کی گول راہیں"",""term_type"":""concept"",""example_sentence"":""Quantum mechanics replaced orbits with probability orbitals."",""properties"":{""key_principle"":""Historical model"",""related_concepts"":[""Bohr radius"",""angular momentum"",""quantum leap"",""orbital shapes""],""real_world_example"":""Planetary atom visualization""}}"
outermost shell,2.1,"{""explanation"":""Valence shell containing electrons involved in chemical bonding."",""urdu_meaning"":""بیرونی شیل - کیمیائی بندھن میں شامل الیکٹران"",""term_type"":""concept"",""example_sentence"":""Elements with full outermost shells are chemically inert."",""properties"":{""key_principle"":""Determines chemical properties"",""related_concepts"":[""valence electrons"",""Lewis structures"",""periodic trends"",""ionization energy""],""real_world_example"":""Predicting element reactivity""}}"
oxygen atom,2.1,"{""explanation"":""Element (atomic number 8) with electron configuration 1s²2s²2p⁴ needing two electrons."",""urdu_meaning"":""آکسیجن ایٹم - ایٹمی نمبر 8 والا عنصر"",""term_type"":""element"",""example_sentence"":""Oxygen atoms form double bonds in O₂ molecules."",""properties"":{""symbol"":""O"",""atomic_number"":8,""category"":""nonmetal"",""state_room_temp"":""gas"",""common_uses"":[""respiration"",""combustion"",""water purification""]}}"
p subshell,2.1,"{""explanation"":""Orbital subset holding max 6 electrons across 3 dumbbell-shaped orbitals."",""urdu_meaning"":""پی ذیلی شیل - تین ڈمبل نما مدار"",""term_type"":""concept"",""example_sentence"":""p subshell electrons form pi bonds in organic molecules."",""properties"":{""key_principle"":""Angular momentum quantum number l=1"",""related_concepts"":[""valence electrons"",""bond angles"",""hybridization"",""molecular geometry""],""real_world_example"":""Semiconductor properties in p-block""}}"
periodic table,2.1,"{""explanation"":""Tabular arrangement of elements by atomic number revealing periodic trends."",""urdu_meaning"":""دوری جدول - عناصر کی ایٹمی نمبر کے حساب سے ترتیب"",""term_type"":""concept"",""example_sentence"":""Periodic table groups share valence electron configurations."",""properties"":{""key_principle"":""Periodic law"",""related_concepts"":[""electron configuration"",""ionization energy"",""atomic radius"",""electronegativity""],""real_world_example"":""Predicting element properties""}}"
positive charge,2.1,"{""explanation"":""Fundamental property of protons (+1.6×10⁻¹⁹C) defining nuclear identity."",""urdu_meaning"":""مثبت بار - پروٹان کی بنیادی خاصیت"",""term_type"":""property"",""example_sentence"":""Positive charge concentration in nucleus attracts electrons."",""properties"":{""key_principle"":""Quantized elementary charge"",""related_concepts"":[""anode"",""cations"",""electrostatic forces"",""nuclear charge""],""real_world_example"":""Proton therapy in cancer""}}"
positively charged particles,2.1,"{""explanation"":""Protons and cations carrying positive electric charge."",""urdu_meaning"":""مثبت باردار ذرّات - پروٹان اور مثبت آئن"",""term_type"":""concept"",""example_sentence"":""Positively charged particles deflect toward negative electrodes."",""properties"":{""key_principle"":""Coulomb repulsion"",""related_concepts"":[""anode"",""alpha particles"",""proton beams"",""mass spectrometry""],""real_world_example"":""Particle accelerators""}}"
probability clouds,2.1,"{""explanation"":""Quantum mechanical regions where electrons likely exist, visualized as orbital shapes."",""urdu_meaning"":""امکانی بادل - الیکٹران کی موجودگی کا امکان والے خطّے"",""term_type"":""concept"",""example_sentence"":""Probability clouds define atomic sizes in quantum models."",""properties"":{""key_principle"":""Wave function ψ²"",""related_concepts"":[""s orbitals"",""p orbitals"",""d orbitals"",""quantum probability""],""real_world_example"":""Molecular modeling software""}}"
protium isotope,2.1,"{""explanation"":""Most common hydrogen isotope (¹H) with single proton and no neutrons."",""urdu_meaning"":""پروٹیم آئسوٹوپ - ہائیڈروجن کا سب سے عام آئسوٹوپ"",""term_type"":""concept"",""example_sentence"":""Protium isotope comprises 99.98% natural hydrogen."",""properties"":{""key_principle"":""Simplest atom"",""related_concepts"":[""deuterium"",""tritium"",""isotopic abundance"",""hydrogen bonding""],""real_world_example"":""Organic compound synthesis""}}"
protons,2.1,"{""explanation"":""Positively charged subatomic particles in nucleus defining atomic number."",""urdu_meaning"":""پروٹان - مرکزے میں مثبت باردار ذرّات"",""term_type"":""concept"",""example_sentence"":""Proton count distinguishes elements; all carbon atoms have 6 protons."",""properties"":{""key_principle"":""Atomic number definition"",""related_concepts"":[""nucleus"",""nuclear forces"",""quarks"",""ionization""],""real_world_example"":""Proton NMR spectroscopy""}}"
quantum mechanical model,2.1,"{""explanation"":""Modern atomic description using wave functions and probability distributions."",""urdu_meaning"":""کوانٹم میکانیکی نمونہ - جدید ایٹمی وضاحت"",""term_type"":""concept"",""example_sentence"":""Quantum mechanical model explains electron probability clouds."",""properties"":{""key_principle"":""Schrödinger equation"",""related_concepts"":[""wave functions"",""orbitals"",""quantum numbers"",""electron density""],""real_world_example"":""Quantum computing design""}}"
quantum mechanics,2.1,"{""explanation"":""Physics framework describing atomic/subatomic behavior through wave-particle duality."",""urdu_meaning"":""کوانٹم میکینکس - جوہری اور زیرجوہری رویّے کی وضاحت"",""term_type"":""concept"",""example_sentence"":""Quantum mechanics predicts atomic spectra with precision."",""properties"":{""key_principle"":""Uncertainty principle"",""related_concepts"":[""superposition"",""entanglement"",""quantization"",""wave functions""],""real_world_example"":""Transistor technology""}}"
quantum physics,2.1,"{""explanation"":""Branch studying matter/energy at quantum scales governing atomic structure."",""urdu_meaning"":""کوانٹم طبیعیات - کوانٹم پیمانے پر مادّہ/توانائی کا مطالعہ"",""term_type"":""concept"",""example_sentence"":""Quantum physics explains why electrons don't spiral into nucleus."",""properties"":{""key_principle"":""Discrete energy levels"",""related_concepts"":[""quantum field theory"",""particle physics"",""quantum electrodynamics"",""atomic spectra""],""real_world_example"":""Laser technology""}}"
radiation,2.1,"{""explanation"":""Energy emission from unstable nuclei or electron transitions."",""urdu_meaning"":""اشعاع - غیر مستحکم مرکزے یا الیکٹران کی منتقلی سے توانائی کا اخراج"",""term_type"":""concept"",""example_sentence"":""Alpha radiation consists of helium nuclei emitted during decay."",""properties"":{""key_principle"":""Energy emission"",""related_concepts"":[""radioactivity"",""electromagnetic spectrum"",""ionizing radiation"",""half-life""],""real_world_example"":""Radiotherapy cancer treatment""}}"
radioactive element,2.1,"{""explanation"":""Atoms with unstable nuclei undergoing spontaneous decay like uranium or radium."",""urdu_meaning"":""تابکار عنصر - غیر مستحکم مرکزے والے ایٹم"",""term_type"":""concept"",""example_sentence"":""Radioactive elements emit ionizing radiation during nuclear decay."",""properties"":{""key_principle"":""Nuclear instability"",""related_concepts"":[""half-life"",""decay chains"",""fission"",""geiger counters""],""real_world_example"":""Nuclear fuel cycle""}}"
rutherford's gold foil experiment,2.1,"{""explanation"":""1911 alpha scattering experiment revealing atomic nucleus existence."",""urdu_meaning"":""رتھرفورڈ کا سونے کی ورق کا تجربہ - ایٹمی مرکزے کی دریافت"",""term_type"":""concept"",""example_sentence"":""Rutherford's gold foil experiment showed atoms have dense nuclei."",""properties"":{""key_principle"":""Backscattering geometry"",""related_concepts"":[""nuclear model"",""alpha particles"",""scattering cross-section"",""atomic structure""],""real_world_example"":""Material thickness gauging""}}"
s subshell,2.1,"{""explanation"":""Spherical orbital subset holding max 2 electrons per shell."",""urdu_meaning"":""ایس ذیلی شیل - گول مداروں کا سیٹ"",""term_type"":""concept"",""example_sentence"":""s subshell electrons experience greater penetration near nucleus."",""properties"":{""key_principle"":""Angular momentum quantum number l=0"",""related_concepts"":[""spherical symmetry"",""penetration effect"",""shielding"",""ionization energy""],""real_world_example"":""Alkali metal reactivity""}}"
shells,2.1,"{""explanation"":""Electron energy levels (n=1,2,3...) defined by principal quantum number."",""urdu_meaning"":""شیل - الیکٹران کی توانائی کی سطحیں"",""term_type"":""concept"",""example_sentence"":""Electron shells fill sequentially following Aufbau principle."",""properties"":{""key_principle"":""Radial distance probability"",""related_concepts"":[""subshells"",""electron configuration"",""periodic table periods"",""quantum numbers""],""real_world_example"":""Predicting chemical periodicity""}}"
specific energy level,2.1,"{""explanation"":""Discrete electron state with quantized energy, like n=2 for first excited state."",""urdu_meaning"":""مخصوص توانائی کی سطح - منفرد الیکٹران حالت"",""term_type"":""concept"",""example_sentence"":""Hydrogen electrons transition between specific energy levels emitting photons."",""properties"":{""key_principle"":""Quantization"",""related_concepts"":[""spectral lines"",""Bohr model"",""quantum leap"",""Rydberg formula""],""real_world_example"":""Laser excitation wavelengths""}}"
